SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2008-09	16	1600450	-3	116	-3.0	22	26	84.6	0
2008-09	16	1600480	10	403	2.5	61	100	61.0	3
2008-09	16	1600490	0	143	0.0	24	35	68.6	0
2008-09	16	1600510	51	1742	2.9	290	483	60.0	0
2008-09	16	1600540	0	50	0.0	14	16	87.5	0
2008-09	16	1600570	0	55	0.0	10	8	100.0	0
2008-09	16	1600600	17	1653	1.0	329	385	85.5	5
2008-09	16	1600630	5	98	5.1	26	41	63.4	0
2008-09	16	1600660	5	1516	0.3	345	398	86.7	0
2008-09	16	1600690	0	98	0.0	23	28	82.1	0
2008-09	16	1600720	-3	137	-3.0	33	39	84.6	0
2008-09	16	1600750	-3	54	-3.0	10	11	90.9	0
2008-09	16	1600780	94	3566	2.6	658	884	74.4	4
2008-09	16	1600810	0	151	0.0	40	44	90.9	1
2008-09	16	1600815	-3	125	-3.0	19	44	43.2	0
2008-09	16	1600840	0	86	0.0	17	23	73.9	0
2008-09	16	1600870	0	43	0.0	14	17	82.4	0
2008-09	16	1600900	-3	55	-3.0	10	12	83.3	0
2008-09	16	1600930	12	2674	0.4	570	636	89.6	0
2008-09	16	1600960	7	745	0.9	185	197	93.9	0
2008-09	16	1601020	11	882	1.3	186	247	75.3	12
2008-09	16	1601050	-3	410	-3.0	88	118	74.6	1
2008-09	16	1601080	0	207	0.0	42	63	66.7	0
2008-09	16	1601110	-3	817	-3.0	127	177	71.8	0
2008-09	16	1601140	-1	504	-1.0	118	144	81.9	0
2008-09	16	1601170	0	85	0.0	18	24	75.0	0
2008-09	16	1601200	0	98	0.0	21	27	77.8	0
2008-09	16	1601230	-3	141	-3.0	37	37	100.0	0
2008-09	16	1601260	13	358	3.6	86	114	75.4	3
2008-09	16	1601290	0	124	0.0	31	39	79.5	0
2008-09	16	1601380	0	128	0.0	32	32	100.0	0
2008-09	16	1601410	-3	117	-3.0	23	34	67.6	1
2008-09	16	1601440	0	61	0.0	17	18	94.4	0
2008-09	16	1601470	18	423	4.3	95	118	80.5	0
2008-09	16	1601500	0	103	0.0	23	33	69.7	0
2008-09	16	1601530	97	3284	2.9	740	871	85.0	0
2008-09	16	1601570	6	1264	0.5	258	291	88.7	0
2008-09	16	1601590	62	1053	5.9	195	249	78.3	0
2008-09	16	1601620	-3	175	-3.0	41	46	89.1	0
2008-09	16	1601650	6	439	1.4	94	133	70.7	0
2008-09	16	1601680	0	103	0.0	35	32	100.0	0
