School District,,,LEAID,,,,,,,,,,,,,,,,,PovertyRate,
Bolivar-Richburg Central School District,NY,,3600012,"4,789",5.41,20.67,12.84,38.9,98.12,0.27,0.33,0.17,0,1.57,85.1,11.1,0.13,"39,120","45,966",14,"54,100"
Bolton Central School District,NY,,3605010,"2,161",3.61,12.36,17.72,48.6,97.78,1.62,0,0,0,0.56,93,30.4,0,"55,375","74,464",6.9,"351,400"
Bradford Central School District,NY,,3605220,"2,684",3.46,17.03,8.57,32.3,87.74,9.09,0.07,0,0,2.16,83.9,10.4,0.23,"45,357","51,442",17,"77,800"
Brasher Falls Central School District,NY,,3627960,"5,697",5.56,19.92,17.18,40.1,97.75,0.19,0.86,0.18,0,1.12,83.4,13.6,1.52,"39,306","47,450",18.7,"71,200"
Brentwood Union Free School District,NY,,3605280,"80,867",8.1,18.25,9.44,34.1,62.25,16.82,0.34,2.67,0,57.09,71.5,13.7,34.26,"69,997","71,953",7.8,"350,800"
Brewster Central School District,NY,,3605310,"21,169",5.23,19.91,10.59,40.3,85.74,3.31,0,1.59,0,12.61,92.1,36.5,6.22,"85,388","95,924",3.4,"382,300"
Briarcliff Manor Union Free School District,NY,,3605340,"7,912",5.06,21.47,14.22,38,91.04,2.94,0.47,4.71,0,2.62,95.9,74.9,2.18,"176,250","224,737",3.7,"843,200"
Bridgehampton Union Free School District,NY,,3605370,"1,069",3.84,5.05,34.05,54.4,77.08,21.23,0,1.68,0,4.68,87.3,39.5,4.96,"93,462","105,435",2.9,"1,000,000"
Bridgewater-West Winfield Central School District,NY,,3630930,"7,633",5.24,20.48,13.53,40.8,98.38,0.24,0.18,0.43,0,0.54,86,14.6,0.94,"43,465","50,123",13.5,"82,500"
Brighton Central School District,NY,,3605460,"23,543",5.55,15.46,19.25,42,84.45,3.98,0.08,8.1,0.28,2.76,95.7,65.4,4.74,"65,893","90,876",6,"169,600"
Broadalbin-Perth Central School District,NY,,3600005,"11,335",5.12,15.88,14.34,42.2,94.58,2.65,0.09,1.14,0,2.06,89.2,17.3,1.01,"48,195","60,144",12.9,"120,700"
Brockport Central School District,NY,,3605580,"26,587",5.07,17.11,9.41,32,93.95,2.85,0.19,0.85,0.11,3.5,89.4,31.6,1.93,"54,081","66,078",12,"118,600"
Brocton Central School District,NY,,3605610,"4,984",3.21,12.8,17.09,39.3,84.97,10.43,0.18,0.54,0,5.28,81,15.3,4.54,"38,092","53,264",13.6,"80,000"
Bronxville Union Free School District,NY,,3605640,"6,522",9.21,21.22,11.97,39,90.62,1.32,0.29,5.4,0,1.87,99.7,83.4,3.09,"171,319","215,000",2.3,"1,000,000"
Brookfield Central School District,NY,,3605670,"1,043",5.66,19.08,14.67,38.3,94.82,0,4.51,0,0,0,87.1,14.3,1.02,"36,917","43,500",20.2,"64,400"
Brookhaven-Comsewogue Union Free School District,NY,,3615780,"23,586",6.94,17.64,13.55,38.9,90.74,0.91,0.56,4.18,0,10.78,88.9,27.4,6.06,"77,138","95,345",4.3,"388,600"
Brunswick Central School District (Brittonkill),NY,,3605520,"8,891",4.69,19.63,11.87,40.9,96.37,0.03,0.1,0.07,0,2.25,91.8,20.9,2.08,"59,198","69,694",3.4,"177,700"
Brushton-Moira Central School District,NY,,3605820,"4,804",5.41,18.78,14.59,40,97.84,0.04,0.54,0.06,0,1.81,83.2,14.6,0.62,"37,953","42,822",15.9,"68,400"
Buffalo City School District,NY,,3605850,"273,335",6.06,18.42,12.48,34.8,53.95,37.47,0.59,1.79,0.01,8.19,80.4,21.2,4.85,"30,376","37,488",28.6,"65,200"
